accepted,attack_type,batch_size,buyer_process_ms,ckks_decoding_ms,ckks_parameter_digest,communication_bytes,constraints,dataset,decoded_max_abs_error,decoded_mean_abs_error,end_to_end_localhost_ms,market_process_ms,package_id,partial_decryption_ms,proof_backend,proof_bytes,proof_generation_ms,public_variables,reconstruction_ms,repeat,seed,verification_ms
True,honest,1,114445.54140000037,0.531,"[45, 32, 32, 32, 32]",132588,3182950,hateful_memes,2.487480403411818e-05,2.487480403411818e-05,243659.50539999903,129213.92939999714,packed-batch,0,gnark-v0.15.0-groth16-bn254,196,15315.7,32771,0,0,42,52.221
True,honest,32,113755.744099999,0.53,"[45, 32, 32, 32, 32]",132590,3182950,hateful_memes,9.57291985265521e-05,2.493310627590744e-05,245109.6225000001,131353.84989999875,packed-batch,0,gnark-v0.15.0-groth16-bn254,196,15756.597,32771,0,0,43,52.174
True,honest,128,115215.27680000143,0.543,"[45, 32, 32, 32, 32]",132591,3182950,hateful_memes,0.0001420883760792,2.514752314595901e-05,244871.44980000085,129656.14800000183,packed-batch,0,gnark-v0.15.0-groth16-bn254,196,15526.643,32771,0,0,44,50.757
