run_seed,dataset,profile,market_size,good_count,good_ratio,decoy_type_good_ratio,static_target_top_good_count,static_target_top_good_ratio,static_target_top_downstream_gain_mean,downstream_gain_mean_good,downstream_gain_mean_bad,anchor_test_auroc,anchor_test_macro_f1,anchor_test_acc
42,hateful_memes,noise,5000,500,0.1,1.0,0,0.0,-0.3882258236408233,3.1373093128204346,-0.6477302312850952,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-0.8992505669593811,3.1373093128204346,-0.4951044917106628,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,typiclust_dense,5000,500,0.1,0.976,0,0.0,-0.8106051683425903,3.1320960521698,-0.4456780254840851,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,kmeans_center,5000,500,0.1,0.98,2,0.04,-0.1681964844465255,3.1344690322875977,-0.440155565738678,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-0.8096054792404175,3.1377804279327397,-0.334913432598114,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,cosine,5000,500,0.1,1.0,0,0.0,-0.235976830124855,3.164325475692749,-0.7130568027496338,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hateful_memes,all_average,5000,500,0.1,1.0,0,0.0,-1.13401460647583,3.1111292839050293,-1.6585686206817627,0.4885596132697947,0.3697478991596639,0.5866666666666667
42,hatespeech,noise,5000,500,0.1,1.0,0,0.0,-1.1104729175567627,3.0497443675994877,-1.0593665838241575,0.54664076,0.3333333333333333,0.5
42,hatespeech,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.7908369302749634,3.0497443675994877,-0.5607625246047974,0.54664076,0.3333333333333333,0.5
42,hatespeech,typiclust_dense,5000,500,0.1,1.0,1,0.02,1.1660853624343872,3.1340370178222656,-0.0898339971899986,0.54664076,0.3333333333333333,0.5
42,hatespeech,kmeans_center,5000,500,0.1,1.0,13,0.26,1.2091666460037231,3.134371280670166,-0.1260444074869156,0.54664076,0.3333333333333333,0.5
42,hatespeech,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-0.7138774394989014,3.049468278884888,0.0030855459626764,0.54664076,0.3333333333333333,0.5
42,hatespeech,cosine,5000,500,0.1,1.0,0,0.0,-0.4169197380542755,3.1759066581726074,-0.7171201109886169,0.54664076,0.3333333333333333,0.5
42,hatespeech,all_average,5000,500,0.1,1.0,0,0.0,-0.7278119921684265,3.0952672958374023,-1.6674219369888306,0.54664076,0.3333333333333333,0.5
42,mscoco,noise,5000,500,0.1,1.0,0,0.0,-0.5131290555000305,4.274712085723877,-0.7372089624404907,0.78174140625,0.3333333333333333,0.5
42,mscoco,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.3847084045410156,4.274712085723877,-0.5456534028053284,0.78174140625,0.3333333333333333,0.5
42,mscoco,typiclust_dense,5000,500,0.1,0.946,19,0.38,3.0336132049560547,4.201720714569092,-0.3401635885238647,0.78174140625,0.3333333333333333,0.5
