dataset,profile,method,purchase_ratio,purchase_total,test_auroc_mean,test_auroc_std,test_macro_f1_mean,test_macro_f1_std,test_acc_mean,test_acc_std,eval_time_mean,eval_time_std,good_count_mean,good_count_std,method_label
hateful_memes,all_average,market_badge_select,0.0025,12,0.5465002596529814,0.01518011878627712,0.3697478991596639,0.0,0.5866666666666667,0.0,0.18627306666652052,0.06486166520403545,0.0,0.0,BADGE
hateful_memes,all_average,market_badge_select,0.005,25,0.5265050708699902,0.02183501830370381,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.1328245999999732,0.032689217805959174,0.3333333333333333,0.5773502691896258,BADGE
hateful_memes,all_average,market_badge_select,0.01,50,0.5201048539833822,0.012375761250439139,0.3182178531790074,0.044626328877428706,0.4711111111111111,0.10007404665953516,0.10360299999986937,0.010152744739800686,0.3333333333333333,0.5773502691896258,BADGE
hateful_memes,all_average,market_badge_select,0.02,100,0.5164949902248289,0.019591114984031096,0.3697478991596639,0.0,0.5866666666666667,0.0,0.12689063333315664,0.031394424085259505,0.6666666666666666,1.1547005383792517,BADGE
hateful_memes,all_average,market_coreset_select,0.0025,12,0.5184086326979472,0.02599065275016102,0.3182178531790074,0.044626328877428706,0.47111111111111104,0.10007404665953519,0.1741137666666266,0.0182731107539869,0.0,0.0,CoreSet
hateful_memes,all_average,market_coreset_select,0.005,25,0.5144908510508309,0.017458029435739927,0.3697478991596639,0.0,0.5866666666666667,0.0,0.18973089999978276,0.05444563517161394,0.3333333333333333,0.5773502691896258,CoreSet
hateful_memes,all_average,market_coreset_select,0.01,50,0.5037727578201369,0.047833986381995444,0.3697478991596639,0.0,0.5866666666666667,0.0,0.1765527666664941,0.03658776106118901,0.3333333333333333,0.5773502691896258,CoreSet
hateful_memes,all_average,market_coreset_select,0.02,100,0.5228382361925709,0.0300412885768523,0.3697478991596639,0.0,0.5866666666666667,0.0,0.22340426666657243,0.07379368243615539,1.0,1.0,CoreSet
hateful_memes,all_average,market_cosine_select,0.0025,12,0.5463392748044966,0.014403898718549813,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.1812859333334321,0.03072088277801869,0.0,0.0,Cosine
hateful_memes,all_average,market_cosine_select,0.005,25,0.5477678244134897,0.02344286105184205,0.3697478991596639,0.0,0.5866666666666667,0.0,0.15791313333329524,0.0023409102597298642,0.0,0.0,Cosine
hateful_memes,all_average,market_cosine_select,0.01,50,0.510937347262952,0.020224956765129747,0.3697478991596639,0.0,0.5866666666666667,0.0,0.11714753333338494,0.03465064359733026,0.0,0.0,Cosine
hateful_memes,all_average,market_cosine_select,0.02,100,0.5217266923264908,0.05701283199141113,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.13488133333339639,0.032730107784600414,0.0,0.0,Cosine
hateful_memes,all_average,market_kmeans_center_select,0.0025,12,0.5385590023216031,0.026111952012966205,0.3697478991596639,0.0,0.5866666666666667,0.0,0.15921586666672735,0.012050171410558117,0.0,0.0,KMeans
hateful_memes,all_average,market_kmeans_center_select,0.005,25,0.5391282532991203,0.016227940327683568,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.1493271333333723,0.013088405833454268,0.0,0.0,KMeans
hateful_memes,all_average,market_kmeans_center_select,0.01,50,0.5531397391251222,0.018542666047900714,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953518,0.1623183333331326,0.013073583416231323,0.6666666666666666,1.1547005383792517,KMeans
