dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_noise_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,primary_metric,primary_metric_value,type_typiclust_dense_decoy,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_ref_encrypted_compute_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,type_cosine_decoy,type_useful_clean,run_seed,run_dir,purchase_ratio,purchase_total,ratio_market_size
hateful_memes,noise,market_random_select,42,12,2,0.1666666666666666,0.028292765840888,-0.028292765840888,3.018975257873535e-05,0.0001712587400106,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1717567000000599,0.5476658724340175,0.3697478991596639,0.5866666666666667,2.0,1.0,7.0,2.0,0,,good_count,2.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,market_cosine_select,42,12,0,0.0,-1.148391842842102,1.148391842842102,-6.0692429542541504e-05,-0.013257305137813,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1580254000000422,0.5345960868768328,0.3697478991596639,0.5866666666666667,,,,12.0,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,market_coreset_select,42,12,0,0.0,-0.2295634746551513,0.2295634746551513,-4.605948925018311e-05,0.0079976571723818,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1581114999999044,0.5300893511730205,0.3697478991596639,0.5866666666666667,,,12.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,market_badge_select,42,12,0,0.0,-0.3950589001178741,0.3950589001178741,-0.0001049439088092,0.0149222156032919,1,baseline_model_based,1,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.155833999999686,0.5391353555718474,0.3697478991596639,0.5866666666666667,,,12.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,market_kmeans_center_select,42,12,12,1.0,3.289476156234741,-3.289476156234741,0.000314250588417,0.031236657872796,0,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1359056999999666,0.5195078812316716,0.2924528301886792,0.4133333333333333,,5.0,,1.0,0,,good_count,12.0,6.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,market_typiclust_select,42,12,9,0.75,1.6233583688735962,-1.6233583688735962,0.0001846849918365,0.0123911267146468,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.0954733999997188,0.5070958577712611,0.2924528301886792,0.4133333333333333,,3.0,,5.0,0,,good_count,9.0,4.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,ours_kernel_ridge_student,42,12,12,1.0,3.144137382507324,-3.144137382507324,0.0002999156713485,0.0301724728196859,0,online_student,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.0964536999999836,0.453915185117302,0.3697478991596639,0.5866666666666667,,4.0,,3.0,1,ours_student_row_ctpt,good_count,12.0,5.0,10000.0,64.0,4.0,92931.597765,53.80301340178943,53.80903000000001,107.61806,92931.597765,92931.597765,705941.0,192.0,0.0,192.0,192.0,10000.0,1.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,noise,ours_sample_package_krr,42,12,12,1.0,3.144137382507324,-3.144137382507324,0.0002999156713485,0.0301724728196859,0,online_student,0,1,4,1250,28000,1000,0.9174745082855223,top_quantile,0.1371780999998009,0.5345768420087977,0.3697478991596639,0.5866666666666667,,4.0,,3.0,1,ours_student_pkg_ctpt,good_count,12.0,5.0,10000.0,64.0,4.0,1786105.677236,2.799386432575201,2.80927,5.61854,1786105.677236,446526.419309,235320.0,10.0,0.0,10.0,10.0,2500.0,4.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,coreset_far_wrong,market_random_select,42,12,2,0.1666666666666666,0.0183970872312784,-0.0183970872312784,2.4497509002685547e-05,0.0010003866627812,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1560954000001402,0.5469160098973607,0.3697478991596639,0.5866666666666667,7.0,1.0,2.0,2.0,0,,good_count,2.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
hateful_memes,coreset_far_wrong,market_cosine_select,42,12,0,0.0,-1.148391842842102,1.148391842842102,-6.0692429542541504e-05,-0.013257305137813,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.152675199999976,0.5345960868768328,0.3697478991596639,0.5866666666666667,,,,12.0,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p0025_seed_42,0.0025,12,5000
