function,interval_min,interval_max,degree,coefficients_ascending,max_abs_error,rmse,max_relative_error
exp,-4.0,0.0,4,0.996335809614;0.953438287406;0.398776319769;0.0819512647685;0.00664880546929,0.0036641903861820424,0.0018736468151636717,0.10381250490013617
sigmoid_uncertainty,-3.0,3.0,4,0.25;-3.34947532349e-18;-0.0500068675692;-5.605025633e-19;0.0031482337955,0.0098799057166543,0.005512355518646233,0.21622823909502115
sqrt,0.05,4.0,4,0.229884993146;1.10318202627;-0.41972626397;0.100745447157;-0.00929105287215,0.060400516161412704,0.009149912332009593,0.27011932002598693
