dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,sample_packaging_stage,sample_package_summary,seller_packaging_rule,package_count,package_size_min,package_size_max,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_typiclust_dense_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_est_input_prepare_encrypt_ms,ckks_est_decrypt_decode_ms,ckks_est_total_full_flow_ms,ckks_ref_input_prepare_encrypt_ms_mean,ckks_ref_encrypted_compute_ms_mean,ckks_ref_decrypt_decode_ms_mean,ckks_ref_total_full_flow_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertexts_mean,ckks_ref_decoded_values_mean,ckks_ref_input_ciphertexts_mean,ckks_ref_input_ciphertext_bytes_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_total_communication_bytes_mean,ckks_ref_ct_ct_mults_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_relinearizations_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,primary_metric,primary_metric_value,type_cosine_decoy,type_useful_clean,package_size_sweep,run_seed,type_noise_decoy
hatespeech,kmeans_center,ours_sample_package_krr,142,48,33,0.6875,2.1135284900665283,-2.1135284900665283,0.0001753618271322,0.0541167706251144,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,25.0,14.0,9.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,33.0,,,2,42,
hatespeech,uncertainty_badge,ours_sample_package_krr,142,48,42,0.875,3.2147979736328125,-3.2147979736328125,0.00024339184165,0.0801618620753288,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,18.0,18.0,12.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,42.0,,,2,42,
hatespeech,cosine,ours_sample_package_krr,142,48,47,0.9791666666666666,3.083396673202514,-3.083396673202514,0.0002372575254412,0.0759484693408012,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,19.0,18.0,11.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,47.0,,,2,42,
hatespeech,all_average,ours_sample_package_krr,142,48,32,0.6666666666666666,1.1864584684371948,-1.1864584684371948,0.0001255435199709,0.0280367210507392,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,17.0,18.0,13.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,32.0,,,2,42,
mscoco,noise,ours_sample_package_krr,242,48,48,1.0,4.913403034210205,-4.913403034210205,0.0003091307880822,0.0058863093145191,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,,20.0,19.0,9.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,42,
mscoco,coreset_far_wrong,ours_sample_package_krr,242,48,46,0.9583333333333334,4.8923163414001465,-4.8923163414001465,0.000304469227558,0.0060328766703605,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,2.0,19.0,19.0,8.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,46.0,,,2,42,
mscoco,typiclust_dense,ours_sample_package_krr,242,48,48,1.0,4.918605327606201,-4.918605327606201,0.0002953720686491,0.0065872357226908,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,1.0,16.0,18.0,11.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,1.0,1.0,2,42,
mscoco,kmeans_center,ours_sample_package_krr,242,48,45,0.9375,4.793934345245361,-4.793934345245361,0.0002942718565464,0.0061455857940018,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,1.0,21.0,16.0,10.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,45.0,,,2,42,
mscoco,uncertainty_badge,ours_sample_package_krr,242,48,44,0.9166666666666666,4.81786584854126,-4.81786584854126,0.000295760721201,0.0061671938747167,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,,20.0,16.0,12.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,44.0,,,2,42,
mscoco,cosine,ours_sample_package_krr,242,48,48,1.0,4.96116828918457,-4.96116828918457,0.0003113771381322,0.0059652994386851,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,,17.0,22.0,9.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,42,
