package_size_sweep,dataset,mean,std
2,hateful_memes,35.285714285714285,2.7884601851347344
2,hatespeech,39.333333333333336,1.6741329363092303
2,mscoco,45.52380952380952,1.7043362064926955
4,hateful_memes,24.23809523809524,3.163353081950928
4,hatespeech,30.80952380952381,1.2481278497220165
4,mscoco,35.38095238095238,0.9072647087265556
6,hateful_memes,15.61904761904762,2.1396801846343783
6,hatespeech,24.42857142857143,2.8891069165938132
6,mscoco,29.19047619047619,2.1060327988091423
8,hateful_memes,13.80952380952381,2.6354464956231833
8,hatespeech,20.23809523809524,0.5773502691896255
8,mscoco,28.666666666666668,2.2192724186154353
